ID,Sentence,TW1,TW2,TW3,TW4,TW5,Question,VarName9,VarName10,VarName11,VarName12,answ,nchar,nword,hasQuest,Zstring,same_len,z_answ,zStr
61,"The scientists investigated the bright energy bursts that appeared to come from outer space.","investigated","bright","bursts","appeared","come",What did the scientists investigate?,energy bursts,microbes,fruit flies,DNA samples,1,92,14,1,Szz zzzzzzzzzz zzzzzzzzzzzz zzz zzzzzs zzzzzz zzzzzz zzzs zzzzzzsz zz zzzz zzzz zszzz zzzzzz,1,5,Zzz zzzzzzzzzz zzzzzzzzzzzz zzz zzzzzz zzzzzz zzzzzo zzzz zzzzzzzz zz zzzz zzzz zzzzz zzzzzz
62,"Because the road looked steep and difficult to climb, the cyclists pushed their bikes.","road","steep","difficult","climb,","cyclists",What did the cyclists push?,their tractor,their bikes,their car,their boat,2,86,14,1,Zzzzzzz zzz zzsz zszzzz zzzzz zzz zzzzzzzzz zs zzszzz szz zzzzzzzz szzzzz zzzzz zzzzzz,1,6,Zzzzzzz zzz zzzz zzzzzz zzzzz zoz zzzzzzzoz zz zzzzzz zzz zzzzzzzz zzzzzz zzzzz zzzzzz
63,"The new computer factory promised to create more jobs and attract specialists from nearby towns.","computer","promised","create","jobs","attract",What did the factory promise?,more rain,more holidays,more jobs,more food,3,96,15,1,Zsz szz szzzzzzz zszzzzz zzzzzzzz zz zzzzzz zzzz zzsz zzz zzzzzzz zzzszzzzzzz szzz zzzzzz zzzzzz,1,7,Zzz zzz zzzzzzzz zzzzzoz zzzzzzzz zz zzzzzz zzzz ozzz zzz zzzzzzz zzzzzzzzzzz zzzz ozzzzz zzzzzz
64,"The car engine problems started because someone had damaged a valve during the maintenance.","engine","started","someone","damaged","valve",What did the car have?,a nice stereo,leather seats,new tyres,engine problems,4,91,14,1,Zzz zzs zzzzzz zzzzszzz zzzzzzz zzzzszz szzzzzz zzs zzzzzzz z zzzsz zzzzzz szz zzzzzzszzzzz,1,8,Zzz zzo zzzzzz zzzzzzzz ozzzzzz zzzzzzz zzzzzzz zzz zzzozzz z zzzzz ozzzzz zzz zzzzzzzzzzzz
65,"The heavy rain storm forced some businesses in town to remain closed after the streets were flooded.","rain","forced","businesses","town","remain",What caused the businesses to close?,the rain storm,the lack of customers,the robbery,the Christmas holidays,1,100,17,1,Zzz zzzzz zszz zzzzz zzzzzz zzzz zzzszzzzzz zz zszz zz zzzzzz zzzzzz zzzzz zzs zzzzzzz zzzz zzzzzzsz,1,5,Zzz zzzzz zzzz zzzzz zzzzzz zzzz zzzzzzzzzz zz zzzz zz zzzzzz zzzzzz zzzoz zzz zzzzzzz zzzz zzzzzzzz
66,"The poet spent the whole summer writing short stories for another book project.","spent","whole","writing","stories","another",What did the poet write?,his will,short stories,a prophecy,a movie script,2,79,13,1,Zsz zzzz zzzzz zzz szzzz zzzzzz zzzzzzz szzzz zzzzzzz zzz zzzzszz szzz zzzzzzsz,1,6,Zzz zzzz zzzzz zzz zzzzz zzzzzz zzzzzzo zzzzz zzzzzzz zzz zzzzzzo zzzz zzzzzzzz
67,"The new church was built with donations from companies and members of the public.","church","built","donations","companies","members",What was the church built with?,free labour,free tools,donations,free materials,3,81,14,1,Zzz zzz szzzzz zzz zzzzz zszz zzzzzzzzz szzz zzzzzzzzz zzz zzzzzzs sz zzs zzzzzsz,1,7,Zzz ozz zzzzzz zzz zzzzz zzzz zzzzzzzzz zzzz zozzzzzzz zzo zzzzzzz zz zzz zzzzzzz
68,"The mission failed to uncover the enormous pirate treasure, which some believe is buried in the ocean.","failed","uncover","enormous","treasure,","some",What were they looking for?,a lost cat,dinosaur bones,UFOs,a pirate treasure,4,102,17,1,Zzs zzzzzzz zzzzzz zz zzszzzz szz zzzzzzzz szzzzz zzzzzszzz zzzsz zszz zzzzzzz zz zzzzzz zz zzz zzzzzs,1,8,Zzz zozzzzz zzzzzz zz zzzzzzz zzz zzzzzozz zzzzzz zzzzozzzz zzzzz zzzz zzzzzzz zz zozzzz zz zzz zzzzzz
69,"The journalist finished her assignment and prepared several good questions before the interview.","finished","assignment","prepared","good","before",What did the journalist prepare for?,an interview,a gala dinner,a safari,a swimming lesson,1,96,13,1,Szz zzzzzzzzzz zzszzzzz zzz zzzzzzzzzz zzz zzzzzzzz zzzszzz zzzz zzzzzzzzz zzzzzz szz zzszzzzzzz,1,5,Zzz zzzzzzzzzz zzzzzozz zzz zzzzzzzzzz zzz zzzzzzzz zzzzzzz zzzz zzzzzzzzz zzzzzz zzz zzzzzzzzzz
70,"The art gallery was recently renovated thanks to funding from wealthy benefactors from the region.","gallery","recently","thanks","funding","wealthy",What happened to the art gallery?,it was vandalised,it was renovated,it was burned down,it was demolished,2,98,15,1,Zsz zzz zzzzzzz zzz zzzzzzzz zzzszzzzz zzzzzz zs zzzzzzz zzzz zzzzzzz zzzzzszzzzz zzzz zsz zszzzzz,1,6,Zzz zzz ozzzzzz ozz zzzzzzzz zzzzzzzzz zzzzzz zz zzzzzzz zzzz zzzzzzz zzzzzzzzzzz zzzz zzz zzzzzzz
71,"The couple celebrated their tenth wedding anniversary by visiting the place where they first met.","celebrated","tenth","anniversary","visiting","place",What did the couple celebrate?,a new house,a new baby,a wedding anniversary,a birthday,3,97,15,1,Zzz zzzszz zzzzszzzzz zzzzz zzzsz zzzzzzz zzzzszzzzzz zz zzzzzzzz zzz zzzzs zszzz zzzz zzzzs zzsz,1,8,Zzz ozzzzz zzzzzzzzzz zzzzz zzzzz zzozzzz zzzzzzzzzzz zz zzozzzzz zzz zzzzz zzzzz zzzz zzzzz zzzz
72,"The forest fire spread quickly and gave the firefighters little time to bring it under control.","fire","quickly","gave","firefighters","time",What spread quickly?,the nuclear fallout,the rumours,the contaminated water,the forest fire,4,95,16,1,Zzz zzzszz zzzz zzzzzz zzzzzzs zzz zszz zzz zzzzzzzzzzzz zzzzzz zzzz zz szzzz zs zzzzz zzzzzzzz,1,5,Zzz zzzzzz zzzo zzzzzz zzzzzzz zoz zzzz zzz zzzzzzzzzzzz zzzzzz zzzz zo zzzzz zz zozzz zzzzzzzz
73,"The client asked for another evening dress that matched her velvet boutique shoes.","asked","another","dress","matched","velvet",,,,,,NaN,82,13,0,Zsz zzzzzz zzzzz zzs zzzzzsz zzzzzsz zzzzz szzz zzzzzzz zzz zszzzz zzzzzzzz zzzzsz,1,7,Zzz zzzozz zzzzz zzz zzzzzzz zzzzzzz zzzzz zzzz zzzzzzz zzz zzzzzz zzzzzzzz zzzzzz
74,"The government tried to support the interest in solar power technology in the private sector.","tried","support","interest","solar","technology",,,,,,NaN,93,15,0,Zzz zszzzzzzzz zszzz zz zzszzzz zzz szzzzzzz sz zzzzs zzzzz zzzzzzzzzz zz zzs szzzzzz zzzzzzz,1,8,Zzz zzzzzzzzzz zzzzz zz zzzzzzz zzz zzzozzzz zz zzzzz zzzzz zzzzzzzzzz zz zzz zzzzzzo zzzzzzz
75,"The buffet offered many different food options, which included both continental and British meals.","offered","different","options,","included","continental",,,,,,NaN,98,14,0,Szz zzzzsz zzzzzzz zzzz zzzzzzzzz zzzz zzzzzzzz zzzzz zzzzzzzz zzzz zzzzzzzzzzz zsz Zzzzzzs zzzzzs,1,5,Zzz zzzzzz zzzzozz zzzz zzzzzzzzz zzzz zzzzzzzz ozzzz zzzzzzzz zzzz zzzzzzzzzzz zzz Zzzzzzz zzzzzo
76,"Because the weather was cold and windy, the children weren’t allowed to play outside.","weather","cold","windy,","children","allowed",,,,,,NaN,85,14,0,Zzzzzzz zzs zzzzzzz zzz szzz szz zzzzzz zzs szzzzzzz zzzzzzs zzzzzzz zz zzzz zzzzzzzz,1,6,Zzzzzzz zzz zozzzzz zoz zzzz zzz zzzzzz ozz zzzzzzzz zzzzzzz zzzzzzz zz zzoz zzzzzzzz
77,"The landlady asked the tenants to keep the house clean during their stay there.","asked","tenants","keep","house","during",,,,,,NaN,79,14,0,Szz zzzzzzzz zszzz zzz zzzzzzs zz zzzs zzz zzzzs zzzzz zzszzz zzzsz zzzz zzzzzz,1,7,Zzz zzzzzzzz zzzzz zzz zzzzzzo zz zzzz zzz zzzzz zzzzz zzzzzz zzzzz zzzz zzzzzz
78,"The charity tried to raise more money for improving healthcare facilities in developing countries.","tried","raise","money","improving","facilities",,,,,,NaN,98,14,0,Zzs zzzzzzz zzzzz zz zzzzs zzzz zzzzs zzs zzzzzszzz zzzzzzzzzz zzzzzzzzzz zz zzzzzzzzzz zzzzzzzzzz,1,5,Zzz zzzzzzz zzzzz zz zozzz zzzz zzzzz zzz zzzzzzzzz zzzzzozzzz zzzzzzzzzz zz zzzzzzzzzz zzzzzzzzzz
79,"The president wants to stay in politics after completing his term later this year.","wants","stay","politics","completing","term",,,,,,NaN,82,14,0,Zzs zzzszzzzz zzzzs zz szzz sz zzzzzzzz zzzzz zzzzzzzzzz zzz zzzz zzzzz zzzs zzzzz,1,6,Zzz zzzzzzzzz zzzoz oz zzzz zz zzzzzzzz zzozz zzzzzzzzzz zzz zzzz zzzzz zzzz zzzzz
80,"The supermarket chain had ambitions to expand their operation to nearby countries in the future.","chain","ambitions","expand","operation","nearby",,,,,,NaN,96,15,0,Szz zzzzzzzzzzs zzzzz zzz zzzzzzzzz zs zzzzzz zzszz zzzzzzzzz zz zzzzzs zzszzzzzz zs zzz zzzzzzz,1,7,Zzz zzzzzzzozzz zzzzz zoz zzzzzzzzz zz zzozzz zzzzz zzzzzzzzz zz zzzzzz zzzzzzzzz zz ozz zzzzzzz
81,"The club aimed to foster cultural awareness and friendship among people of different nations.","aimed","foster","awareness","friendship","people",,,,,,NaN,93,14,0,Szz zzzz zzzzz zs zzzzzs zzzzzzzz zzzzzzzzz szz zzzzzzzszz zzszz zzzszz zs zzzzzzzzz zzzzzzzz,1,8,Zzz zzzz zzzzz zz zzzzzz zzzzzzzz zzzzzzzzz ozz zzzzzzzzzz zzzzz zzzzzz zz zzzzzzzzz zzzzzzzz
82,"The strong currency attracted investments from foreign companies interested in expanding their business.","currency","investments","foreign","interested","expanding",,,,,,NaN,104,13,0,Zzz zzzzzz zzzzzzzz zzzzzzzzz zzzzzzzzzzz zzzz zszzzzz zzzzzzzzs zzzzzzzzzz zs zzzzzzzzz zzzsz zzzzzzzsz,1,5,Zzz zzzzzz ozzzzzzz zzzzzzzzz zzzzzzzzzzz zzzz zzzzzzz zzozzzzzz zzzzzzzzzz zz zzzzzzzzz zzzzz zzzzzzzzz
83,"The young mother was tired of seeing her children play pranks on each other all the time.","mother","tired","seeing","children","pranks",,,,,,NaN,89,17,0,Zsz zzzzz zszzzz zzz zzzzz zz zzzszz zsz zzzzzzzz szzz zzzzzz zs zzzz zzzzz zzz zzz zzzzz,1,6,Zzz zzzzz zzzzzz zzz zzzzz zz zzzzzz ozz zzzzzzzz zzzz zzzozz zz zzzz zzzzz zzz zoz zzzzz
84,"Kristin was surprised to receive an honourable mention during the prize award ceremony.","surprised","receive","honourable","during","prize",,,,,,NaN,87,13,0,Zzzzzzz szz zzzzzzzzs zs zzzzzzz zs zzzzzszzzz zzzzszz zzzzzz zzz zzzzz zzzzz zzzzzzszz,1,7,Zzzzzzz zzz zzzozzzzz zo zzzzzzz zz zzozzzzzzz zzzzzzz zzzzzz zzz ozzzz zzzzz zzzzzzzzz
85,"The campers realised that forested areas offer better protection from wild animals and mosquitoes.","realised","forested","offer","protection","wild",,,,,,NaN,98,14,0,Zzs zszzzzz zzzzszzz zzzz zzzzzzzz zzszz zzzsz zzzzzz zzzzzzzzzz zzzz zzzz zzszzzz zsz zszzzzzzzzz,1,8,Zzz zzzzzzz zzzzozzz zzzz zzzzzzzz zzzzz zzzzz zzzzzz zzzzzzzzzz zzzz zzzz zzzzzzz zzz zzzzzzzzzzz
86,"The severe drought affected many farmers despite the water irrigation systems that were installed.","drought","many","despite","water","systems",,,,,,NaN,98,14,0,Zzz zzszzz zzzzzzz zzzzzzzz zzsz zzzzzsz zzzzzzz zzz zzzzz zzszzzzzzz zzzzzzz zzzz zzzz zzszzzzzzz,1,5,Zzz zzzzzz zzzzzzz zzzzzzzz zzzz zzzzzzz zzzzzzz ozz zzzzz zzzzzzzzzz zzzzzzz zzoz zzzz zzzzzzzzzz
87,"The green park attracted many city dwellers, who wanted to enjoy the summer days outside.","park","many","dwellers,","wanted","enjoy",,,,,,NaN,89,15,0,Zzz zzzzz zzzz zzzzzzzzz szzz szzz zzzzzzzzz zzz zzzzzz zs zzzsz zzz zzzszz zzzz zzzzzzzs,1,6,Zzz zzzzz ozzz zzzzzzzzz zzzz zzzz zzzzozzzz zzz zzzzzz zz zzzzz zzz zzzzzz zozz zzzzzzzz
88,"Plans to build the final underground station were scrapped after historical ruins were unearthed.","build","final","station","scrapped","historical",,,,,,NaN,97,14,0,Zzzsz zz zzzsz zsz zzzzz zzzzzszzzzz szzzzzz zzzz zzzzzzzz zzzzz zzzzzzzzzz zzzzz szzz zzzzzzzzsz,1,7,Zzzzz zo zzzzz ozz zzzzz zzzzzzzzzzz zzzzzzz zzoz zzzzzzzz zzzzz zzzzzzzzzz zzzzz zzzz zzzzozzzzz
89,"The instructor demonstrated the technique for passing the ball to another player on the field.","demonstrated","technique","passing","ball","another",,,,,,NaN,94,15,0,Zsz zzszzzzzzz zzzzzzzzzzzz zzz zzzzzzzzz zzs zzszzzz zzz zszz zz zzzzzzz szzzzz zz zzs zzzszz,1,8,Zzz zzzzzzzzzz zzzzzzzzzzzz zzz zzzzzzzzz zzz zzzzzzz zzz zzoz zz zzzzzzz zzzzzz zz zzz zzzzzz
90,"The old gravel road outside of town was perfect for mountain bike competitions.","gravel","outside","town","perfect","mountain",,,,,,NaN,79,13,0,Zzz zzz zzzzzs zzzz zzzzzzz sz szzz zzz zzzzzzz zzz zzzzzzzs zszz zzzzszzzzzzzz,1,6,Zzz zzz zzzzzz zzoz zzzzzzz zz zzzz zzz zzzzzzz zzz zzzzzzzz zzzz zzzzzozzzzzzz
91,"The nurse conducted the required tests diligently and informed the doctor about the results.","conducted","required","diligently","informed","doctor",What did the nurse do?,take a holiday,watch a movie,conduct tests,feed her cat,3,92,14,1,Szz zzzzz zzzzszzzz zsz zzzzszzz zzzzz zzzzzzzzzz szz zzzzzzzz zzs zzzzzs zzzzz zzz zzzzzzzz,1,7,Zzz zzozz zzzzzzzzz zzz zzzzzzoz zzzzz zzzzzzzzzz zzz zzzozzzz zzz zzzzzz zzzzz zzz zzzzzzzz
92,"The children practised their lines regularly before the school play which had been organised for their parents.","practised","lines","before","school","which",What did the children do?,go to the doctor,take a nap,eat ice-cream,practice for a play,4,111,17,1,Zzz zszzzzzz zzzzzzzzz zzzzs zzzzs zzzzzzzzz zzzzzz zzz zszzzz zzzs zzszz zzz zzzz zzzzzzzsz zzz zzzzz zszzzzzz,1,8,Zzz zzozzzzz zzzzzzzzz zzzzz zozzz zzzzzzzzz zzzzzz zzz zzzzzz zozz zzzzz zzz zozz zzzzzzzzz zzz zzzzz zzzzzzzz
93,"The old mine was finally shut down after decades of digging had completely exhausted it.","mine","finally","down","decades","digging",What was shut down?,a mine,a reality show,a restaurant,an opera,1,88,15,1,Zzz zzs zzzz zzs zzzzzzz zzzz zzzz zzzzz zzzszzz zs zzzzzzz zzs zzzzzzzzzz zzzzzzzzz zzz,1,5,Zzz zzz zzzz zzz zzzzzzz zzzz zzzz zzzzz zzozzzz zz zzzzzzz zzz zzzzzzzzzz zzzzzzzzz zzz
94,"The Arctic outpost was impossible to reach without helicopters that could fly there.","outpost","impossible","reach","helicopters","could",What was needed to reach the base?,space rockets,helicopters,cars,bicycles,2,84,13,1,Szz Zzzzzz zzzzzzz zzs zzzzzzzzzz zs zszzz zzzzzzz zzzzzzzzzzz zzzz zzzzs zzs zzzzzz,1,6,Zzz Zzzzzz ozzzzzz zzz zzzzzzzzzz zo zzzzz zzzzzzz zzzzzzzzzzz zzzz zzzzz zzz zzzzzz
95,"The school children enjoyed visiting the Museum of Natural History during their trip to the capital.","children","visiting","Museum","Natural","during",What did the children visit?,a dolphin show,a rice field,a museum,a cave,3,100,16,1,Szz zzzszz zzzzzzzz zzzzzzz zzzzzzsz zzz Zzzzzz zz Zszzzzz Zzzzzzz zzzzzz zzzzz zszz zz zzs zzzzzszz,1,7,Zzz zzzzzz zzzzzzzz zzzzzzz zzzzzzzz ozz Zzzzzz zz Zzzzzzz Zzzzzzz zzzzzz zzozz zzzz zz ozz zzzzzzzz
96,"The music festival was overpriced but many fans still bought tickets to attend the event.","festival","overpriced","many","still","tickets",What was overpriced?,the plane ticket,the tomatoes,the spaghetti,the music festival,4,89,15,1,Zzz zzszz zzzzzzzz szz zzzzszzzzz zzs zzzz zzzz zzzzz zzzzzz zzzzzzs zz zzzzzs zsz zzzzsz,1,8,Zzz zzzzz zzozzzzz ozz zzzzzzzzzz zzz zzzo zzzz zzzzz ozzzzz zzzzzzz zz zzzzzz zzz zzzzzz
97,"The couple ordered a double cheese pizza after deciding to spend the night at home.","ordered","double","pizza","deciding","spend",What did the couple order?,a pizza,a TV,a lawnmower,a haircut,1,83,15,1,Szz zzzzzz zzzzzzz z zzzzzs zzzzzz zzzzz zzszz zzzzzzzz zz zzzzz zzz zzzzz sz zzzzs,1,5,Zzz zzzzzz zzzzzzz z zzzzzz zzzzzz zzzzz zzzzz zzzzzzzz zz zzzzz zzz zzzzz zo zzzzz
98,"Mary always devoted some time to helping her parents with household chores during the weekend.","devoted","time","helping","parents","household",Who did Mary help?,a stranger,her parents,her gardener,a homeless man,2,94,15,1,Zszz zzzzsz zzzzzzz zzzz zzzz sz zzzzszz szz zzzzzzz zzsz zzzzzzzzz zzzzzz zzzzzz zzz zzzzzzzz,1,6,Zzzz zzzzzz zzzzozz zozz zzzz zz zzzzzzz zzz zzzzzzz zzzz zzzzzzzzz zzzzzz zzzzzz zzz zzzzzzzz
99,"The paper factory was temporarily closed following several health and safety violations this year.","factory","temporarily","following","health","safety",What was closed?,the steel door,the garage door,the paper factory,the internet browser,3,98,14,1,Zzs zzzzz zzzzzzs zzz zzzzzzzzzzz zzzzzz zzzzzzzzz zzzzzzz zszzzz szz zzzszz zzzzzzzzzs szzz zzzzz,1,7,Zzz zzzzz zzzzzzz zzz zzzzzzzzzzo zzzzzz zzzzzzzzz zzzozzz zzzzzz zzz zzzzzz zzzzzzzzzz ozzz zzzzz
100,"The old library was moved to another building because space restrictions made it hard to store new books.","library","moved","another","because","restrictions",What was moved?,the lorry,the fence,the party,the old library,4,105,18,1,Zzz szz zszzzzz zzz zzzsz zz zzzzzzz zzzzzzzz zszzzzz zzzzz zzzzzzzzzzzz zzzz zs zzsz sz zzzzz zzs zzzzzz,1,8,Zzz zzz zzzozzz zzz zzzzo zz zzzzzzz zzzzzzzz zzzzzzz zzzzz zzzzzzozzzzz zzzz zz zzzz zz zzzzz zoz zzzzzz
101,"The peaceful protest quickly turned violent after two groups of demonstrators started fighting.","protest","turned","after","groups","demonstrators",What turned violent?,the protest,the football game,the church gathering,the party,1,95,13,1,Zzs zzzzszzz zzzzzzz zzzzzzz szzzzz zszzzzz zszzz zzz zzzszz sz zzzzzzzzzzzzz zzzzzzz szzzzzzzz,1,8,Zzz zzzzzzzz zzzzzoz zzzzzzz zzzzzz zzzzzzz zzzzz zzz zzzzzz zz zzzzzzzzzzzzz zzzzzzz zzzzzzzzz
102,"The beautiful lake was popular among hikers, who would usually camp there in the evening.","lake","popular","hikers,","would","camp",What was popular among hikers?,canned food,a beautiful lake,a sleeping bag,a torch,2,89,15,1,Zzs zzzzszzzz zzzs zsz zzzzzzz zzzzz zzzzzzz zzz zzzzz zzzzzzz zzzs zzzzz zz zzz zzzzzzzz,1,5,Zzz zzzzzzzzz ozzz zzo zzzzzzz zzzzz zzzzzzz zzz zzzzz zzzzzzz zzzz zzzzz zz zzz zzzzzzzz
103,"The reporters covering the case were barred from entering the courtroom during the first hearing.","covering","case","barred","entering","courtroom",,,,,,NaN,97,15,0,Zzz zzzzzzszz zzzzszzz zzz zzzz zzzz zzzzzz zzzz zzszzzzz zzz zzzzzzzzz zzzzzz zsz zzzsz zzzzzzzz,1,5,Zzz zzzzzzozz zzzzzzzz zzz zzzz zzzz zzzzzz zzzz zzzzozzz zzz zzozzzzzz zzzzzz zzz zzzzz zzzzzzzz
104,"The deep canyon was formed over hundreds of thousands of years due to erosion of the rocks.","canyon","formed","hundreds","thousands","years",,,,,,NaN,91,17,0,Zzz zzzz zzzzzs zsz zszzzz zzzz zzzzzzzz sz zzzzzzzzz zz zzzzz zzz sz zzzzzzz zs zzz zzzzzz,1,6,Zzz zzzz zzozzz zzz zzzzzo zzzz zzzzzzzz zz zzzzzzzzz zz zzzzz zoz zz zzzzzzz zz zzz zzozzz
105,"The mathematical proof was clever, but difficult to understand for most of the scientists.","proof","clever,","difficult","understand","most",,,,,,NaN,90,14,0,Zzz zzzszzzzzzzz zzzzs zzs zzzzzzz zzz szzzzzzzz sz zzzzszzzzz zzz zszz zz zzz zzzzzzzzzzz,1,7,Zzz zzzzzzzzzzzz zzzzz zzz zzzzzzz zzz zzzzzzzzz zz zzzzzzzzzz zzz zzzz zz zzz zzozzzzzzzz
106,"The multinational company was convicted of insurance fraud after secret documents were leaked to the press.","company","convicted","insurance","after","documents",,,,,,NaN,107,16,0,Zzz zzzzzzzzzzzzz zzzzzzz zzz zzzzzzzzz sz zzzzzzzzz zzzzz zszzz zzszzz zzzzzzzzs zzzz zzzzzz sz zsz zzzzzz,1,6,Zzz zzzzzzozzzzzz zzzzzzz zzz zzzzzzzzz zz zzzzzzzzz zozzz zzzzz zzzzzz zzzzzzzzz zzzz zzzzzz zz zzz zzzzzz
107,"The light breeze outside made it easier to bear the summer heat during the day.","breeze","made","easier","bear","summer",,,,,,NaN,79,15,0,Zzz zzzzz zzzzsz zzzzzsz zzzz zz zzzzzz sz szzz zzz szzzzz zzzz zzszzz zzs zzzz,1,7,Zzz zozzz zzzzzz zzzzzzz zozz zz zzzzzz zz zzzz zzz zzzzzz zzzz zozzzz zzz zzzz
108,"The local florist had decades of experience in making quick deliveries for different celebrations.","florist","decades","experience","making","deliveries",,,,,,NaN,98,14,0,Zzz zzszz zzzzzzz zzs zzszzzz zz zzzzzzzzzz zs zzzszz zzzzz szzzzzzzzz zsz zzzzzzzzs zzzzzzzzzzzzz,1,8,Zzz zzozz zzzzzzz zzo zzzzzzz zz zzzzzzzzzz zz zzzzoz zzozz zzzzzzzzzz zzz zzzzzzzzz zzzzzzzzzzzzz
109,"The new book was published in electronic format because most readers use mobile devices.","book","published","electronic","because","readers",,,,,,NaN,88,14,0,Zsz zzz zszz zzz zzzzszzzz zz zszzzzzzzz zzzzzz zzzszzz zzzz zzzzzzz zzz zzzzzz zzzzzzzz,1,5,Zzz zzz zzzz zzz zzzzzzzzz zo zzzzzzzzzz zzzzzz zzzzzzz zzzz zzzzzzz zzz zzzzzz zzzzzzzz
110,"The principal changed his clothes after large coffee stains completely ruined his outfit.","changed","clothes","large","stains","ruined",,,,,,NaN,89,13,0,Zzs zzzzszzzz zzzzzzz zzz zzzzzzz zszzz zzzzz zszzzz zzzzzz zszzzzzzzz zzzzzz zsz zzzzzzz,1,6,Zzz zzzzzzzzz ozzzzzz zzz zzzzzzz zzzzz zzozz zzzzzz zzzzzz zzzzzzzzzz zzzzzz zzz zzzzzzz
111,"The annual swimming competition became a major success when one thousand people took part.","swimming","became","major","when","thousand",,,,,,NaN,90,14,0,Zzz zzszzz zzszzzzz zzzzzzzzzzz zzzzzz s zzzzz zzzzzzz zzzz zzs zzzzzzzz zzzzzs zzsz zzzsz,1,7,Zzz ozzzzz zzzzzzzz zzzzzzzzzzz zzzzzz z zzzzz zzzzozz zzzz zoz zzzzzzzz zzzzzz zzzz zzzzz
112,"The ancient forest was closely protected because it contained the oldest trees on Earth.","forest","closely","because","contained","oldest",,,,,,NaN,88,14,0,Szz zzzzzsz zzzszz zzz zzzszzz zzzzzszzz zzzzzzz zs szzzzzzzz zzz zzzzzz zzzzz zz Zszzzz,1,8,Zzz zzzozzz zzzzzz zzz zzozzzz zzzzzzzzz zzozzzz zz zzzzzzzzz zzz zzzzzz zzozz zz Zzzzzz
113,"Surprisingly, the movie sequel received better reviews from film critics compared to the original.","movie","received","reviews","film","compared",,,,,,NaN,98,14,0,Szzzzzzzzzzzz zzz zzzzz zzzzzz zzzzszzz zzzzzz zszzzzz zzzz zzzz zzzzzzz zzzzzzzs zz zzz zzzzzzzzs,1,5,Zzzzzzzzzzzzz zzz zzzzz zzzzzz zzzzzzzz zzzzzz zzzzzzz zzzz zzzz zzzzzzz zzzzzzzo zz zzz zzzzzzzzz
114,"The small archipelago had long produced various exotic spices and exported them abroad.","archipelago","long","various","spices","exported",,,,,,NaN,87,13,0,Zsz zzzzz zzzzzzzzzzz zzz zzsz zzzzzzzz zzzzzzz zzszzz zzzzsz zzs zzzzzzzz zzzz szzzzzz,1,6,Zzz zzzzz zzzzzzzzzzz zzz zzzz zzzzzzzo zzzzzzz zzzzzz zzzzzz zzz zzzzzzzz zzzz ozzzzzz
115,"The precious stone was found by children playing near the rapid mountain stream.","stone","found","children","near","rapid",,,,,,NaN,80,13,0,Zzz zzzzzzzz zzzzs zzz zzzzz zs zszzzzzz zzzzzzz zzzs zzs zzzzz zzzzzzsz zzzzzsz,1,7,Zzz zzzzzzzo zzzzz zzz zzozz zz zzzzzzzz zzzzzzz zzzz zzz zzzzz zzzzzzzo zzzzzzz
116,"During the latest press conference, the mayor revealed plans to build a cinema complex.","latest","conference,","mayor","plans","build",,,,,,NaN,87,14,0,Zzzzzz zzz zzzzzz zzzzz zzzzszzzzzz szz zzszz zzzszzzz zzzzz zz zszzz s zzzszz zzzzszzz,1,8,Zzzzzz zzz zozzzz zzzoz zzzzzzzzzzz zzz zzzoz zzzzzzzz zzzzz zz zozzz z zzzzzz zzzzzzzz
117,"The remote village was long abandoned because all residents had moved to nearby towns.","village","long","because","residents","moved",,,,,,NaN,86,14,0,Zzz zzzszz zzzzzzz zzz zzzs zzzzzzzzz zzzzzzz zzz zzzzzzzzz zzs zzszz sz zzzzzz zzzzzz,1,5,Zzz zzzzzz zzzzzzz zzz ozzz zzzzzzzzz zzzzzzz zzz zzzzzzzzz zzz zzzzz zz zzzzzz zzzzzz
118,"The tourist town was mostly deserted during the long winter months when businesses closed down.","town","mostly","during","long","months",,,,,,NaN,95,15,0,Zzz zzzzzzz zzzz zzs zzzzzz zszzzzzz zzzzzz zzz zzzz szzzzz zzzszz zzzz zzzszzzzzz zzzzsz zzzzz,1,6,Zzz zozzzzz zzzz zzz zzzzzz zzzzzzzo zzzzzz zzz zzzz zzzzzz zzzzzz zzzz zzzzzzzzzz zzzzzz zzzzz
119,"The seismic activity worried government officials because it signalled a possible volcanic eruption.","activity","government","because","signalled","possible",,,,,,NaN,100,13,0,Zzz zzzzzzz zzzszzzz zzzzszz zzzzzzzszz zzzzzzszz zzzzzzz zz zzzzzzzzz s zzzzzszz zzzzzzzz zzzzszzzz,1,7,Zzz zzzzozz zzzzzzzz zzzzzzz zzzzzzozzz zzzzzzzzz zzzzzzz zz zzzzzzzzz o zzzzzzzz zzzzzzzz zzzzzzzzz
120,"Many citizens opposed the plans to invest in nuclear power plants due to their environmental impact.","opposed","plans","invest","nuclear","plants",,,,,,NaN,100,16,0,Szzz zzzzzzzz zszzzzz zzz zzzzz sz zzzzsz zz zzszzzz zzzzz zzzzzz szz zs zzzzz zzszzzzzzzzzz zzzzzzz,1,8,Zzzz zzzzozzz zzzzzzz zzz zzzzz zz zzzzzz zo zzzzzzz zzzzz zzzozz zzz zz zzzzz zzzzzzzzzzzzz zzzzzzo
