ID	Sentence	TW1	TW2	TW3	TW4	TW5	Question	?1	?2	?3	?4	answ	nchar	nword	hasQuest	Zstring	same_len	z_answ	no_cap
93	The old mine was finally shut down after decades of digging had completely exhausted it.	mine	finally	down	decades	digging	What was shut down?	a mine	a reality show	a restaurant	an opera	1	88	15	1	Zzz zzz zzzz zzz zzzzzzz zzzz zzzz zzzzz zzozzzz zz zzzzzzz zzz zzzzzzzzzz zzzzzzzzz zzz	1	1	0
94	The Arctic outpost was impossible to reach without helicopters that could fly there.	outpost	impossible	reach	helicopters	could	What was needed to reach the base?	space rockets	helicopters	cars	bicycles	2	84	13	1	Zzz Zzzzzz ozzzzzz zzz zzzzzzzzzz zo zzzzz zzzzzzz zzzzzzzzzzz zzzz zzzzz zzz zzzzzz	1	2	0
95	The school children enjoyed visiting the Museum of Natural History during their trip to the capital.	children	visiting	Museum	Natural	during	What did the children visit?	a dolphin show	a rice field	a museum	a cave	3	100	16	1	Zzz zzzzzz zzzzzzzz zzzzzzz zzzzzzzz ozz Zzzzzz zz Zzzzzzz Zzzzzzz zzzzzz zzozz zzzz zz ozz zzzzzzzz	1	3	0
96	The music festival was overpriced but many fans still bought tickets to attend the event.	festival	overpriced	many	still	tickets	What was overpriced?	the plane ticket	the tomatoes	the spaghetti	the music festival	4	89	15	1	Zzz zzzzz zzozzzzz ozz zzzzzzzzzz zzz zzzo zzzz zzzzz ozzzzz zzzzzzz zz zzzzzz zzz zzzzzz	1	4	0
97	The couple ordered a double cheese pizza after deciding to spend the night at home.	ordered	double	pizza	deciding	spend	What did the couple order?	a pizza	a TV	a lawnmower	a haircut	1	83	15	1	Zzz zzzzzz zzzzzzz z zzzzzz zzzzzz zzzzz zzzzz zzzzzzzz zz zzzzz zzz zzzzz zo zzzzz	1	1	0
98	Mary always devoted some time to helping her parents with household chores during the weekend.	devoted	time	helping	parents	household	Who did Mary help?	a stranger	her parents	her gardener	a homeless man	2	94	15	1	Zzzz zzzzzz zzzzozz zozz zzzz zz zzzzzzz zzz zzzzzzz zzzz zzzzzzzzz zzzzzz zzzzzz zzz zzzzzzzz	1	2	0
99	The paper factory was temporarily closed following several health and safety violations this year.	factory	temporarily	following	health	safety	What was closed?	the steel door	the garage door	the paper factory	the internet browser	3	98	14	1	Zzz zzzzz zzzzzzz zzz zzzzzzzzzzo zzzzzz zzzzzzzzz zzzozzz zzzzzz zzz zzzzzz zzzzzzzzzz ozzz zzzzz	1	3	0
100	The old library was moved to another building because space restrictions made it hard to store new books.	library	moved	another	because	restrictions	What was moved?	the lorry	the fence	the party	the old library	4	105	18	1	Zzz zzz zzzozzz zzz zzzzo zz zzzzzzz zzzzzzzz zzzzzzz zzzzz zzzzzzozzzzz zzzz zz zzzz zz zzzzz zoz zzzzzz	1	4	0
101	The peaceful protest quickly turned violent after two groups of demonstrators started fighting.	protest	turned	after	groups	demonstrators	What turned violent?	the protest	the football game	the church gathering	the party	1	95	13	1	Zzz zzzzzzzz zzzzzoz zzzzzzz zzzzzz zzzzzzz zzzzz zzz zzzzzz zz zzzzzzzzzzzzz zzzzzzz zzzzzzzzz	1	1	0
102	The beautiful lake was popular among hikers, who would usually camp there in the evening.	lake	popular	hikers,	would	camp	What was popular among hikers?	canned food	a beautiful lake	a sleeping bag	a torch	2	89	15	1	Zzz zzzzzzzzz ozzz zzo zzzzzzz zzzzz zzzzzzz zzz zzzzz zzzzzzz zzzz zzzzz zz zzz zzzzzzzz	1	2	0
103	The reporters covering the case were barred from entering the courtroom during the first hearing.	covering	case	barred	entering	courtroom							97	15	0	Zzz zzzzzzozz zzzzzzzz zzz zzzz zzzz zzzzzz zzzz zzzzozzz zzz zzozzzzzz zzzzzz zzz zzzzz zzzzzzzz	1	3	0
104	The deep canyon was formed over hundreds of thousands of years due to erosion of the rocks.	canyon	formed	hundreds	thousands	years							91	17	0	Zzz zzzz zzozzz zzz zzzzzo zzzz zzzzzzzz zz zzzzzzzzz zz zzzzz zoz zz zzzzzzz zz zzz zzozzz	1	4	0
105	The mathematical proof was clever, but difficult to understand for most of the scientists.	proof	clever,	difficult	understand	most							90	14	0	Zzz zzzzzzzzzzzz zzzzz zzz zzzzzzz zzz zzzzzzzzz zz zzzzzzzzzz zzz zzzz zz zzz zzozzzzzzzz	1	1	0
106	The multinational company was convicted of insurance fraud after secret documents were leaked to the press.	company	convicted	insurance	after	documents							107	16	0	Zzz zzzzzzozzzzzz zzzzzzz zzz zzzzzzzzz zz zzzzzzzzz zozzz zzzzz zzzzzz zzzzzzzzz zzzz zzzzzz zz zzz zzzzzz	1	2	0
107	The light breeze outside made it easier to bear the summer heat during the day.	breeze	made	easier	bear	summer							79	15	0	Zzz zozzz zzzzzz zzzzzzz zozz zz zzzzzz zz zzzz zzz zzzzzz zzzz zozzzz zzz zzzz	1	3	0
108	The local florist had decades of experience in making quick deliveries for different celebrations.	florist	decades	experience	making	deliveries							98	14	0	Zzz zzozz zzzzzzz zzo zzzzzzz zz zzzzzzzzzz zz zzzzoz zzozz zzzzzzzzzz zzz zzzzzzzzz zzzzzzzzzzzzz	1	4	0
109	The new book was published in electronic format because most readers use mobile devices.	book	published	electronic	because	readers							88	14	0	Zzz zzz zzzz zzz zzzzzzzzz zo zzzzzzzzzz zzzzzz zzzzzzz zzzz zzzzzzz zzz zzzzzz zzzzzzzz	1	1	0
110	The principal changed his clothes after large coffee stains completely ruined his outfit.	changed	clothes	large	stains	ruined							89	13	0	Zzz zzzzzzzzz ozzzzzz zzz zzzzzzz zzzzz zzozz zzzzzz zzzzzz zzzzzzzzzz zzzzzz zzz zzzzzzz	1	2	0
111	The annual swimming competition became a major success when one thousand people took part.	swimming	became	major	when	thousand							90	14	0	Zzz ozzzzz zzzzzzzz zzzzzzzzzzz zzzzzz z zzzzz zzzzozz zzzz zoz zzzzzzzz zzzzzz zzzz zzzzz	1	3	0
112	The ancient forest was closely protected because it contained the oldest trees on Earth.	forest	closely	because	contained	oldest							88	14	0	Zzz zzzozzz zzzzzz zzz zzozzzz zzzzzzzzz zzozzzz zz zzzzzzzzz zzz zzzzzz zzozz zz Zzzzzz	1	4	0
113	Surprisingly, the movie sequel received better reviews from film critics compared to the original.	movie	received	reviews	film	compared							98	14	0	Zzzzzzzzzzzzz zzz zzzzz zzzzzz zzzzzzzz zzzzzz zzzzzzz zzzz zzzz zzzzzzz zzzzzzzo zz zzz zzzzzzzzz	1	1	0
114	The small archipelago had long produced various exotic spices and exported them abroad.	archipelago	long	various	spices	exported							87	13	0	Zzz zzzzz zzzzzzzzzzz zzz zzzz zzzzzzzo zzzzzzz zzzzzz zzzzzz zzz zzzzzzzz zzzz ozzzzzz	1	2	0
115	The precious stone was found by children playing near the rapid mountain stream.	stone	found	children	near	rapid							80	13	0	Zzz zzzzzzzo zzzzz zzz zzozz zz zzzzzzzz zzzzzzz zzzz zzz zzzzz zzzzzzzo zzzzzzz	1	3	0
116	During the latest press conference, the mayor revealed plans to build a cinema complex.	latest	conference,	mayor	plans	build							87	14	0	Zzzzzz zzz zozzzz zzzoz zzzzzzzzzzz zzz zzzoz zzzzzzzz zzzzz zz zozzz z zzzzzz zzzzzzzz	1	4	0
117	The remote village was long abandoned because all residents had moved to nearby towns.	village	long	because	residents	moved							86	14	0	Zzz zzzzzz zzzzzzz zzz ozzz zzzzzzzzz zzzzzzz zzz zzzzzzzzz zzz zzzzz zz zzzzzz zzzzzz	1	1	0
118	The tourist town was mostly deserted during the long winter months when businesses closed down.	town	mostly	during	long	months							95	15	0	Zzz zozzzzz zzzz zzz zzzzzz zzzzzzzo zzzzzz zzz zzzz zzzzzz zzzzzz zzzz zzzzzzzzzz zzzzzz zzzzz	1	2	0
119	The seismic activity worried government officials because it signalled a possible volcanic eruption.	activity	government	because	signalled	possible							100	13	0	Zzz zzzzozz zzzzzzzz zzzzzzz zzzzzzozzz zzzzzzzzz zzzzzzz zz zzzzzzzzz o zzzzzzzz zzzzzzzz zzzzzzzzz	1	3	0
120	Many citizens opposed the plans to invest in nuclear power plants due to their environmental impact.	opposed	plans	invest	nuclear	plants							100	16	0	Zzzz zzzzozzz zzzzzzz zzz zzzzz zz zzzzzz zo zzzzzzz zzzzz zzzozz zzz zz zzzzz zzzzzzzzzzzzz zzzzzzo	1	4	0
121	The new comet was discovered after analysing the latest data collected by the space probe.	comet	discovered	analysing	latest	collected	What was discovered?	a new comet	a new ice-cream	a new mountain	a new lake	1	90	15	1	Zzz zzz zzzzz zzz zzzzzzzzzz zzzzz zzzzzzzzz zoz zzzzzz zzzz zzzzzzzzz zz zzz zzzzz zzzzzz	1	1	0
122	The worker examined the leaking roof before he prepared to assess how much the repairs would cost.	examined	leaking	before	prepared	assess	What did the worker examine?	the fridge	the roof	the snacks	the plane	2	98	17	1	Zzz zzzzzz zzzzzzzz zzz zzzzzzz zzzz zozzzz zz zzzzzzzz zz zzzzzz zoz zzzz zzz zzzzzzz zzzzz zzzzz	1	2	0
123	The boxing match was postponed after severe flooding caused the venue to close for two weeks.	match	postponed	severe	caused	venue	What was postponed?	a dinner ceremony	a horse race	a boxing match	a wedding	3	93	16	1	Zzz zzzzzz zzzzz zzz zzzzzzzzz zzzzo zzzzzz zzzzzzzz zzzozz zzz zzzzz zz zzozz zzz zzz zzzzzz	1	3	0
124	The two firefighters quickly evacuated the neighbouring houses because the blazing fire was expected to spread.	firefighters	evacuated	neighbouring	because	blazing	What was expected to spread?	the disease	the blight	the rain	the fire	4	111	16	1	Zzz zzz zzzzzzzzzzzz zzzozzz zzzzzzzzz zzz zzzzzzzzzozz zzzzzz zzzzzzo zzz zzzzzzz zzzz zzz zzzzzzzz zz zzzozzz	1	4	0
125	Mark was expecting a delivery that afternoon and decided to watch some TV while waiting for his package.	expecting	delivery	afternoon	decided	watch	What was Mark expecting?	a delivery	a bottle of wine	a new job	an ice-cream	1	104	18	1	Zzzz zzz zzzzzzzzz z zzzzzzzz zzzz zzzzzzzzz zzz zzzzzzz zo zzzzz zzzz ZZ zzzzz zzzzzzz zzz zzz zzzzzzzz	1	1	0
126	The software company was fined for accidentally leaking sensitive customer details on the Internet.	company	fined	accidentally	sensitive	details	What was the company fined for?	tax evasion	leaking sensitive details	harassment	poor hygiene	2	99	14	1	Zzz zzzzzozz zzzzzzz zzz zzzzz zzz zzzzzzzzzzoz zzzzzzz zzzzzzzzz zzzzzzzz zzzzzzz zz zzz Zzzzzzzzz	1	2	0
127	The sunny afternoon was perfect for jogging and Elizabeth went outside to do her usual 5-mile run.	afternoon	perfect	jogging	Elizabeth	outside	What did Elizabeth do?	dance	swim	jog	cook	3	98	17	1	Zzz zzzzz zzzzzzzzz zzz zzzzzzz zzz ozzzzzz zzz Zzzzzzzzz zzzz zzzzzzz oz zz zzz ozzzz zzzzzz zzzz	1	3	0
128	The young children were having fun playing rugby while their parents were talking about their latest holiday.	children	having	playing	while	parents	What were the children doing?	smoking	visiting Disneyland	visiting a circus	playing rugby	4	109	17	1	Zzz zzzzz zzzzzzzz zzzo zzzzzz zzz zzozzzz zzzzz zzzzo zzzzz zzzzzzz zzzz zzzzzzz zzzzz zzzoz zzzzzz zzzzzzzz	1	4	0
129	Miriam usually took her daughter to school every morning before commuting to work in the city centre.	took	daughter	school	morning	commuting	Where did Miriam take her daughter?	to school	to the doctor	to the Queen	to the forest	1	101	17	1	Zzzzzz zzzzzzz zzzz zzz zozzzzzz zz zzzzzz zzzzz zzzzzzz zzzzzz zzzzzzzzz zz zzzz zz zzz zzzz zzzzzzz	1	1	0
130	Lisa was looking to reserve her evening dress online to benefit from the 10% discount that was available.	looking	reserve	evening	online	benefit	What was Lisa looking for?	a hobby	a dress	a holiday	a maid	2	105	18	1	Zzzz zzz zzzzzzz zz zzzzzzz zzz zzzzzzz zzzzz zzzzzz zz zzzzzoz zzzz zzz zzz zzzzzzzz zzzz zzz zozzzzzzzz	1	2	0
131	The solar eclipse last summer was observed in dozens of countries across the Western hemisphere.	eclipse	summer	observed	dozens	countries	What was observed across the Western hemisphere?	a flock of birds	a tsunami	a solar eclipse	sand dunes	3	96	15	1	Zzz zzzzz zzzzzzz zzzz zzzzzz zoz zzzzzzzz zo zzzzzz zz zzzzzzzzz zzzzzz zzz Zzzzozz zzzzzzzzzzz	1	3	0
132	The old minister was expected to retire soon after his appointment in the government came to an end.	minister	expected	retire	after	appointment	Who was going to retire soon?	the thief	the sailor	the circus clown	the old minister	4	100	18	1	Zzz zoz zzzzzzzz zzz ozzzzzzz zz zzzzzz zzzz zzzzz ozz zzzzzzzzzzz zz zzz zzzzzzzzzz zzzz zz zz zzzo	1	4	0
133	The school planned a career day that was intended to introduce the pupils to different types of professions.	planned	career	that	intended	introduce							108	18	0	Zzz zzzzzz zzzzzzz z zzzzzo zzz zzzz zzz zzzzzzzz zz zzzzzzzzz zzz zzzzzz zz zzzzzzzzz zzzzz zz zzzzzzzzzzzz	1	1	0
134	According to historians, the severe drought affected the production of potatoes in most parts of the country.	historians,	severe	affected	production	potatoes							109	17	0	Zzzzzzzzz zz zzzzzzzzzzz ozz zzzzzz zzzzzzz zzzzzzzz zzz zzzzzzzzzz zz zzzzzzzz zz zzzz zzzzz zz zzz zzzozzzz	1	2	0
135	Because Nathaniel inherited a fortune, he decided to donate a large amount of the money to charity.	inherited	fortune,	decided	donate	large							99	17	0	Zzzzzzz Zzzzzzzzz zzzzzzzzz z zzozzzzz zz zzzzzzz zz zzzzzo z zzzzz zzzzzz zz zzz zzzoz zz zzzzzzzz	1	3	0
136	The large diamond was thought to have been purchased by European merchants during the 16th century.	diamond	thought	have	purchased	European							99	16	0	Zzz zzzzz zzzozzz zzz zzzzzzz zz zzzo zzzz zzzzzzzzz zz Zzzzzzzz zzzzzzzzo zzozzz zzz zzzz zzzzzzzz	1	4	0
137	The short presentation was designed to promote the company's latest smartphone at the IT convention.	presentation	designed	promote	company's	smartphone							100	15	0	Zzz zzzzz zzzzzzzzzzzz zzz zzzzzzzz zz zzzzzzz zzz ozzzzzzzz zzzzzz zzzzzzzzzz zz zzz ZZ zzzzzzzzzzz	1	1	0
138	The gaming console was rumoured to include many exclusive titles that wouldn't be available on other platforms.	console	rumoured	include	exclusive	that							111	17	0	Zzz zzzzzz zzzzzzz zzz zzzzzzzz zo zzzzzzz zzzz zzzzzzzzz zzzzzz zzzz zzzzzzzz zo zzzzzzzzz zz zzzzz zzzzzzzzzz	1	2	0
139	The local council had promised to increase the number of parking spaces available in the area.	council	promised	increase	number	parking							94	16	0	Zzz zzzzz zzzzozz zzz zzzzzzzz zz zzzzzzzz zzz zzzzzz oz zzzzzzz zzzzzz zzzzzzzzz zz zzz zzozz	1	3	0
140	The hostel canteen had surprisingly good breakfast options available on weekends and public holidays.	canteen	surprisingly	breakfast	available	weekends							101	14	0	Zzz zzzzzz zzozzzz zzz ozzzzzzzzzzz zzzz zzzzzzzzz zzzzozz zzzzzzzzz zz zozzzzzz zzz zzzzzz zzzzzzzzz	1	4	0
141	The box containing the precious gems disappeared after robbers somehow gained access to the bank vault.	containing	precious	disappeared	robbers	gained							103	16	0	Zzz zzz zzzzzzozzz zzz zzzzzzzz zzzz zzzzzzzzzzz zzzzz zzzzzzz zzzzzzz zzzzzz zzzzzz zz zzz zzzz zzzzzz	1	1	0
142	The cereal commercial was criticised for containing misleading information that overstated its potential benefits.	commercial	criticised	containing	information	overstated							114	14	0	Zzz zzzozz zzzzzzzzzz zzz zzzzzzzzzz zzz zzzzzzzzzz zzzzzzzzzz zzzzzzzzzzz zzzz zzzzzzzzzz zzz zzzzzzzzo zzzzzzzzz	1	2	0
143	Many local people questioned whether the lavish and extravagant opera building was worth its expensive price tag.	people	whether	lavish	extravagant	building							113	17	0	Zzzz zzozz zzzzzz zzzzzzzzzz zzzzzzz zzz zzzzoz zzz zzzzzzzzzzz zzzzz zzozzzzz zzz zzzzz zzz zzzzzzzzz zzzzz zzzz	1	3	0
144	The local social welfare charity was established to support struggling families with their basic daily needs.	social	charity	established	support	families							109	16	0	Zzz zzzzz zzzzoz zzzzzzz zzzzzoz zzz zzzzzzzzzzz zz zzzzzoz zzzzzzzzzz zzzzzzzz zzzz zzzzz zzzzz zzzzz zzzozz	1	4	0
145	Jack wasn't expecting to spend hours waiting in traffic when returning home from the holidays.	expecting	spend	waiting	traffic	returning							94	15	0	Zzzz zzzzzz zzzzzzzzz zz zzzzz zzzzo zzzzzzz zz zzzzzzz zzzz zzzzzzzzz zzzz zzzz zzz zzzzzzzzz	1	1	0
146	The bike competition was becoming more popular in recent years because of the increased international press coverage.	competition	becoming	popular	recent	because							117	17	0	Zzz zzzz zzzzzzzzzzz zzz zzzzzzzz zozz zzzzzzz zz ozzzzz zzzzz zzzzzzz zz zzz zzzzzzzzz zzzzzzzzzzzzz zzzzz zzzzzzzzz	1	2	0
147	The peace treaty was successful at stopping the violence and fighting that had started a decade earlier.	treaty	successful	stopping	violence	fighting							104	17	0	Zzz zzzzz zzozzz zzz zzzzzzzzzz zz zzozzzzz zzz zzzzzzzz zzz zzzzzzzz zzzz zzz zzzzzzz z zzzzzz zozzzzzz	1	3	0
148	The two fishermen were expecting sunny weather all weekend and decided to make the most out of their time at sea.	fishermen	expecting	weather	weekend	decided							113	21	0	Zzz zzz zzzzzzzzz zzzz zzzzzozzz zzzzz zzzzzzz zzz zzzzzzz zoz zzzozzz zz zzzz zzz zzzz zzz zz zzzzz zzzz zz ozzz	1	4	0
149	The city officials were forced to admit that renovating the school would no longer be possible with the current budget.	officials	forced	admit	renovating	school							119	20	0	Zzz zzzz zzzzzzzzz zzzz zzzzzz zz zzzzz zzzz zzzzzzzzzz zzz zzzzzz zzzzz zz zzzzzz zz zzzzzzzz zzzz ozz zzzzzzz zzzzzzz	1	1	0
150	The much anticipated gala dinner was rumoured to include two performances by world-class comedians.	anticipated	dinner	rumoured	include	performances							99	14	0	Zzz zzzz zzzzzzzzzzz zzzz zzzzzz zzz ozzzzzzz zz zzzzzzz zzz zzzzzzzzzzzz zz zzzzzzzzzzz zzzzzzzozz	1	2	0
151	Janice was invited to give a speech at this year's graduation ceremony in recognition of her charity work in the past.	invited	give	speech	this	graduation	What was Janice invited to do?	wash her car	shop for free	give a speech	clean her house	3	118	21	1	Zzzzzz zoz zzzzzzz zz zzzz z zzzzzz zz zzzz zzzzzz zzzzzzzzzz zzzzzzzz zz zzzzzzzzzzz oz zzz zzzzzzz zzzz zz ozz zzzzz	1	3	0
152	Because the sudden snow whiteout made reaching the Arctic base difficult, the cargo supply mission had to be delayed.	sudden	whiteout	reaching	Arctic	difficult,	What was delayed?	the football match	the internet installation	the milk delivery	the cargo supply mission	4	117	19	1	Zzzzzzz zzz zzzzzz zozz zzzzzzzz zzzz zzzzzzzz zoz Zzzzzz zzzz zzzzozzzzz zzz zzzzz zzzzzz zzzzzzz zzz zz zz ozzzzzzz	1	4	0
153	The undercover journalist was carrying a hidden camera underneath his jacket to record the secret meeting.	journalist	carrying	hidden	underneath	jacket	What was the journalist carrying?	a hidden camera	a carrot	a basket	a TV	1	106	16	1	Zzz zzzzzzzzzz zzzzzzzzzz zzz zzzzzzzz z zzzzzo zzzzzz zzzzzzzzzz zzz zzzzzz zz zzzzzz zzz zzzzzz zzzzzzzz	1	1	0
154	Katja often dreamed about visiting her relatives in Indonesia and spending the whole summer with them.	dreamed	visiting	relatives	Indonesia	spending	Where did Katja want to go to?	Sahara	Indonesia	New Mexico	Russia	2	102	16	1	Zzzzz zzzzz zzzzzzz zzzzz zzzzzzoz zzz zzzzzzzzz zz Zzzzzzzzz zzz zzzzzzzz zzz zzzzz zozzzz zzzz zzzzz	1	2	0
155	The patent dispute started because some employees were denied the opportunity to make a profit from their discovery.	dispute	because	employees	denied	opportunity	What was disputed?	the match result	the election result	the patent	the land	3	116	18	1	Zzz ozzzzz zzzzzzz zzzzzzz zzzzzzz zzzz ozzzzzzzz zzzz zzzzzz zzz zzzzzzzzzzz zz zzzz z zzzzzz zzzz zzzzz ozzzzzzzzz	1	3	0
156	The Italian capital was blocked by protestors who demanded greater accountability and transparency from the government.	capital	blocked	protestors	demanded	accountability	Who blocked the capital?	tourists	football fans	wildlife enthusiasts	protestors	4	119	16	1	Zzz Zzzozzz zzzzzzz zzz zzzzzzz zz zzzzzzozzz zzz zzzzzzzz zzzzzzz zzzzozzzzzzzzz zzz zzzzzzzzzzzz ozzz zzz zzzzzzzzzzz	1	4	0
157	The remote village in Patagonia was established when construction workers arrived to build the train line there.	village	Patagonia	established	construction	arrived	Where was the village?	in Patagonia	on Mars	underwater	in Scotland	1	112	17	1	Zzz zzzzzz zzzzzzz zz Zzzzzzzzz zzz zzzzzzzzzzz zzzz zzzzzzzzzzzz zzzzzzz zzzzzzz zz zozzz zzz zzzzz zzzz zzzzzz	1	1	0
158	As the cruiser slowly disappeared, the spectators were starting to leave the bay area and head back home.	cruiser	disappeared,	spectators	starting	leave	What disappeared?	the rabbit	the cruiser	the money	the dinner	2	105	18	1	Zz zzz zzzzzzz zzzzzz zzzzzzzzzzzz zzz zzzzzzzzzz ozzz zzzzzzzz zz zzzoz zzz zzz zzzz zzz zzzz zzzz zzzzz	1	2	0
159	Because the conversation was recorded in secret, the prosecutors tried arguing that it was inadmissible evidence.	conversation	recorded	secret,	prosecutors	arguing	What was recorded in secret?	the date	the dolphin show	the conversation	the music concert	3	113	16	1	Zzzzzzz zzz zzzzzzzzzzzz zzo zzzzzzzz zz zzzzzzz zzz zzzzzzzzzzz zozzz zzzzzzz zzzz zz ozz zzzzzzzzzzzz zzzzzzzzz	1	3	0
160	Joanne was hesitant to contact her manager and report the missing goods because he was on a holiday with his family.	hesitant	contact	manager	report	missing	Where was Joanne's manager?	at a wedding	in the sauna	in Parliament	on a holiday	4	116	21	1	Zzzzzz zzz zzzzzzzz oz zzzzzzz zzz zzzzzzz zzz zzzzoz zzz zzzzzzz zozzz zzzzzzz zz zzz oz z zzzzzzz zzzz zzz zzzzzzz	1	4	0
161	Because the seaside golf course wasn't profitable, the investors were looking to lease the land to local farmers.	seaside	course	profitable,	investors	looking	What wasn't profitable?	the golf course	being self-employed	the company stocks	the beach festival	1	113	18	1	Zzzzzzz zzz zzzzzzz zzzz zzzzzz zzzzzz zzzzzzzzzzz zzz zzzozzzzz zzzz zzzzzzz zz zzzzz zzz zzzz zz zzzzz zzzzzzzz	1	1	0
162	The tennis tournament was broadcast on national TV during the previous summer Olympic games.	tournament	broadcast	national	during	previous	What was broadcast on TV?	the rocket launch	the tennis tournament	the wine tasting	the church ceremony	2	92	14	1	Zzz zzzozz zzzzzzzzzz zoz zzzzzzzzz zz zzzzzzzz ZZ zzzzzz zzz zzzzzzzz zzzzzz Zzzzzzz zzzzzz	1	2	0
163	The final rehearsal of tomorrow's live concert was complicated by countless problems with the sound system.	rehearsal	tomorrow's	concert	complicated	countless							107	16	0	Zzz zzzoz zzzzzzzzz zz zzzzzzzzzz zzzz zzzzzzz zzz zzzzzzzzzzz zz zzzzzzzzo zzzzzzzz zzzz ozz zzzzz zzzzzzz	1	3	0
164	The PC equipment was purchased from discount retailers because the available budget for the project was limited.	equipment	purchased	discount	because	available							112	17	0	Zzz ZZ zzozzzzzz zzz zzzzzzzzz ozzz zzzzzzzz zzzzzzzzz zzzozzz zzz zzzzzzzzz zzzzzz zzz zzz zzzzzzz ozz zzzzzzzz	1	4	0
165	The editorial criticised the recent political developments that threatened to cause even more civil unrest.	criticised	recent	developments	threatened	cause							107	15	0	Zzz zzzzzzzzz zzzzzzzzzz zzz zzzzzz zzzzzzzzz zzzzzzozzzzz zzzz zzzzzzzzzz zz zzzzz zzzz zzzz zzzzz zzzzzzz	1	1	0
166	The new algorithm for analysing weather patterns may improve future forecasts related to the early detection of tsunamis.	algorithm	analysing	patterns	improve	forecasts							121	18	0	Zzz zzz zzzzzzzzz zoz zzzzzzzzz zzzzzzz zzzzzzzz zzz zzzzzzz zzzzzz zzzzzzzzz zzzzzzz zz ozz zzzzz zzzzzzzzz zz zzzzzzzzz	1	2	0
167	The charity banquet was successful at raising the amount of money needed to build a new hospital in the city.	banquet	successful	raising	amount	money							109	20	0	Zzz zzzzzzz zzzzzzz zzz zzzzzozzzz zz zzzzzzz ozz zzzzzz zz zzzzz zzzzzz zz zzzzz o zzz zzzzzzzz zz zzz zzzzz	1	3	0
168	The small mountain stream attracted many different animals because its water was very clean and refreshing.	mountain	attracted	different	because	water							107	16	0	Zzz zzzzz zzzzzozz zzzzzz zozzzzzzz zzzz zzzzzzzzz zzzzzzz zzzzzzz zoz zzzzz zzz zzzz ozzzz zzz zzzzzzzzzzz	1	4	0
169	The new board of directors was interested in expanding the business by recruiting engineers to develop new products.	board	directors	interested	expanding	business							116	18	0	Zzz zzz zozzz zz zzzzzzzzz zzz zzzzzzzzzz zz zzzzzzzzz zzz zzzzzzzz zz zzzzzzzzzz zzzzzzzzz zz zzzzzzz zzz zzzzzzzzz	1	1	0
170	The finance minister was trying to introduce new legislation to strengthen the economy of the small country.	minister	trying	introduce	legislation	strengthen							108	17	0	Zzz zzzzzzz zzzzzzzz zzz zzzzzz zz zzzzzzzzz zzz zzzzzzzzzzz zz ozzzzzzzzz zzz zzzzzzz zz zzz zozzz zzzzzzzz	1	2	0
171	The corrupt lawyer was summoned before Congress to explain his behaviour over the past few months.	lawyer	summoned	Congress	explain	behaviour							98	16	0	Zzz zzzzzzo zzzzzz zzz zzzzzzzz zzzzzz Zzzzzozz zz zzzzzzz zzz zzzzzzzzz zzzz zzz zzzz zzz zzzzozz	1	3	0
172	The old farmer was trying to protect his livelihood by looking for new markets to sell his produce to.	farmer	trying	protect	livelihood	looking							102	19	0	Zzz zzz zzozzz zzz zozzzz zz zzzzzzz zzz zzzzzzzzzz zz zzzzzoz zzz zoz zzzzzzz zz zzzz zzz zzzzzzz zzz	1	4	0
173	The city river often tended to overflow as people were throwing furniture and other rubbish into it.	river	tended	overflow	people	throwing							100	17	0	Zzz zzzz zzzzz zzzzz zzzzzz zz zzzzzzzz zz zzzzzz zzzz zzzzzzzz zzzzzzzzz zoz zzzzz zzzzzzz zzzz zzz	1	1	0
174	The weekly meetings were cancelled on multiple different occasions this summer because the director was traveling abroad.	meetings	cancelled	multiple	occasions	summer							121	17	0	Zzz zzzzzz zzzzzzzz zzzz zzzzzzzzz zz zzzzzzoz zzzzzzzzz zzzzzzzzz zzzz zzzzzz zzzzzzz zzz zzzzzzzz ozz zzzzzzzzz zzzzzzz	1	2	0
175	Because Mark expected to receive a message from Natalie, he decided to charge his phone.	expected	receive	message	Natalie,	decided							88	15	0	Zzzzzzz Zzzz zzozzzzz zz zzzzzzz z zzzzzzz zzzz Zzzozzzz oz zzzzzzz zz zzzzzz zzz zzzzzz	1	3	0
176	The next speaker was responsible for presenting the international sale statistics to the company shareholders.	speaker	responsible	presenting	international	statistics							110	15	0	Zzz zzzz ozzzzzz zzz zzzzzzzzzzz zoz zzzzzzozzz zzz zzzzzzzzzzzzz zzzz zzzzzzozzz zz zzz zzzzzzz zzzzzzzzzzzzz	1	4	0
177	The quickly melting snow enabled the travellers to undertake the remaining leg of the journey through the mountains.	melting	enabled	travellers	undertake	remaining							116	18	0	Zzz zzzzzzz zzzzzzz zzzz zzzzzzz zzz zzzzzzzzzz zz zzzzzzzzz zzz zzzzzzzzz zzz zz zzz zzzzzzz zzzozzz zzz zzzzzzzzzz	1	1	0
178	The latest ceasefire was expected to continue for another year because of the renewed peace negotiations.	ceasefire	expected	continue	another	because							105	16	0	Zzz zzzzzz zzzzzzzzz zzz zzzzzzzz zz zzzzzzzz zzo zzzzzzz zzzo zzzzzzz zz zzz zzzzzzz zzzzz zzzzzzzzzzzzz	1	2	0
